Script addresses
27D: 087AEAE8
27E: 087AEB18
27F: 087AF220
280: 087AF3C8
281: 087AF3F8
282: 087AFBE0
283: 087AFD88
284: 087B0574
285: 087B05A4
286: 087B074C
287: 087B077C
288: 087B0EF8
289: 087B10A0
28A: 087B1138
28B: 087B1AF8
28C: 087B1CA0
28D: 087B1CD0
28E: 087B2690
28F: 087B2838
290: 087B2868
291: 087B3258
292: 087B3400
293: 087B3D84
294: 087B3DB4
295: 087B3F5C
296: 087B3F8C
297: 087B48F8
298: 087B4E04
299: 087B533C
29A: 087B57F0
29B: 087B5D68
29C: 087B6300
29D: 087B6A88
29E: 087B7254
29F: 087B7998
2A0: 087B80DC
2A1: 087B87FC
2A2: 087B8B58
2A3: 087B8BCC
2A4: 087B8C64
2A5: 087B8FC8
2A6: 087B8FF8
2A7: 087B9094
2A8: 087B9408
2A9: 087B9438
2AA: 087B94E4
2AB: 087B9870
2AC: 087B9924
2AD: 087B9954
2AE: 087B9C84
2AF: 087B9CB4
2B0: 087B9D58
2B1: 087B9F40
2B2: 087BA164
2B3: 087BA378
2B4: 087BA594
2B5: 087BA7B4
2B6: 087BADC0
2B7: 087BB41C
2B8: 087BBAD8
2B9: 087BC108
2BA: 087BC794
2BB: 087BD268
2BC: 087BDD2C
2BD: 087BE7F0
2BE: 087BE9C8
2BF: 087BEBA4
2C0: 087BF254
2C1: 087BF8E0
2C2: 087BFACC
2C3: 087BFB84
2C4: 087BFC58
2C5: 087C0388
2C6: 087C053C
2C7: 087C05CC
2C8: 087C0654
2C9: 087C0B38
2CA: 087C0F48
2CB: 087C10D0
2CC: 087C1258
2CD: 087C1994
2CE: 087C1BC8
2CF: 087C25D8
2D0: 087C2DD4
2D1: 087C35CC
2D2: 087C3A2C
2D3: 087C40E0
2D4: 087C4F54
2D5: 087C5130
2D6: 087C5514
2D7: 087C65E4
2D8: 087C6BF4
2D9: 087C6C98
2DA: 087C6D5C
2DB: 087C7408
2DC: 087C74A4
2DD: 087C7534
2DE: 087C7C28
2DF: 087C7D54
2E0: 087C8308
2E1: 087C83A0
2E2: 087C8458
2E3: 087C84F4
2E4: 087C85D0
2E5: 087C9120
2E6: 087C9E50
2E7: 087CA494
2E8: 087CA578
2E9: 087CA618
2EA: 087CAB50
2EB: 087CB8C4
2EC: 087CC128
2ED: 087CD680
2EE: 087CDC14
2EF: 087CDFBC
2F0: 087CE6A4
2F1: 087CE780
2F2: 087CECA0
2F3: 087CF698
2F4: 087CF768
2F5: 087CF84C
2F6: 087CF8EC
2F7: 087CFBF8
2F8: 087D0694
2F9: 087D13C4
2FA: 087D1490
2FB: 087D2170
2FC: 087D221C
2FD: 087D22CC
2FE: 087D2924
2FF: 087D2A58
300: 087D2BC0
301: 087D2D00
302: 087D31D0
303: 087D3308
304: 087D3418
305: 087D4630
306: 087D50EC
307: 087D5184
308: 087D5244
309: 087D5A0C
30A: 087D5BCC
30B: 087D644C
30C: 087D65F4
30D: 087D6700
30E: 087D683C
30F: 087D7014
310: 087D71AC
311: 087D7268
312: 087D7D30
313: 087D8310
314: 087D83E4
315: 087D8F74
316: 087D9048
317: 087D9900
318: 087D9C5C
319: 087DA0D0
31A: 087DA298
31B: 087DA364
31C: 087DAD60
31D: 087DAE90
31E: 087DAF74
31F: 087DB160
320: 087DB2A4
321: 087DB474
322: 087DB984
323: 087DBA3C
324: 087DBF3C
325: 087DD75C
326: 087DDC88
327: 087DDEB8
328: 087DE2E0
329: 087DE64C
32A: 087DE908
32B: 087DEDC4
32C: 087DEF14
32D: 087DEFF8
32E: 087DF64C
32F: 087DF768
330: 087DFB18
331: 087DFBFC
332: 087DFCD4
333: 087DFE88
334: 087E0154
335: 087E07EC
336: 087E0B58
337: 087E0D44
338: 087E0F28
339: 087E1518
33A: 087E1794
33B: 087E1D88
33C: 087E1FC0
33D: 087E3760
33E: 087E3A9C
33F: 087E3E70
340: 087E3F80
341: 087E4094
342: 087E41A8
343: 087E4540
344: 087E4658
345: 087E4770
346: 087E4884
347: 087E4998
348: 087E4AB0
349: 087E4BC8
34A: 087E4CE0
34B: 087E4DFC
34C: 087E4F1C
34D: 087E4F44
34E: 087E4F6C
34F: 087E4F94
350: 087E4FBC
351: 087E4FE4
352: 087E500C
353: 087E5034
354: 087E5128
355: 087E5220
356: 087E530C
357: 087E5428
358: 087E5544
359: 087E572C
35A: 087E5AE4
35B: 087E5CCC
35C: 087E66C0
35D: 087E7024
35E: 087E7A20
35F: 087E8090
360: 087E80C0
361: 087E8218
362: 087E8894
363: 087E88C4
364: 087E8A2C
365: 087E90B8
366: 087E90E8
367: 087E9238
368: 087E9430
369: 087E9694
36A: 087E988C
36B: 087E99BC
36C: 087E99EC
36D: 087E9E34
36E: 087E9F64
36F: 087E9F94
370: 087EA360
371: 087EA494
372: 087EA4C4
373: 087EA8F4
374: 087EAA9C
375: 087EAACC
376: 087EB06C
377: 087EB214
378: 087EB244
379: 087EB6F4
37A: 087EB89C
37B: 087EB8CC
37C: 087EBE08
37D: 087EBFB0
37E: 087EBFE0
37F: 087EC800
380: 087EC9A8
381: 087EC9D8
382: 087ED0F0
383: 087ED298
384: 087ED2C8
385: 087EDA90
386: 087EDF2C
387: 087EE240
388: 087EE6DC
389: 087EEC88
38A: 087EEF60
38B: 087EF4F0
38C: 087EF798
38D: 087EF7C8
38E: 087EF878
38F: 087EFB30
390: 087EFB60
391: 087EFDE4
392: 087EFE14
393: 087EFEB8
394: 087F04D4
395: 087F04FC
396: 087F0AE0
397: 087F22AC
398: 087F243C
399: 087F2A94
39A: 087F2D3C
39B: 087F2FE4
39C: 087F3498
39D: 087F3E14
39E: 087F4B50
39F: 087F560C
3A0: 087F60A4
3A1: 087F6B60
3A2: 087F7634
3A3: 087F80F0
3A4: 087F8734
3A5: 087FF4D8
3A6: 08800B74
3A7: 08804874
3A8: 0880489C
3A9: 088048C4
3AA: 088048EC
3AB: 08804914
3AC: 0880493C
3AD: 08804964
3AE: 08804F0C
3AF: 088052F0
3B0: 08805800
3B1: 0880601C
3B2: 0880652C
3B3: 08806B2C
3B4: 08807018
3B5: 088071B8
3B6: 08807360
3B7: 08807478
3B8: 08807648
3B9: 0880781C
3BA: 08807A80
3BB: 08807E60
3BC: 08807EFC
3BD: 08808074
3BE: 0880888C
3BF: 08808A48
3C0: 08809164
3C1: 088091FC
3C2: 08809380
3C3: 08809B58
3C4: 08809CFC
3C5: 08809D74
3C6: 08809E38
3C7: 0880A330
3C8: 0880A9E4
3C9: 0880AC18
3CA: 0880AD78
3CB: 0880AED4
3CC: 0880B044
3CD: 0880B2A8
3CE: 0880B478
3CF: 0880B94C
3D0: 0880BAC4
3D1: 0880C4C4
3D2: 0880C644
3D3: 0880C6D8
3D4: 0880CCD0
3D5: 0880CE88
3D6: 0880CF24
3D7: 0880CFC0
3D8: 0880D92C
3D9: 0880DA94
3DA: 0880DB24
3DB: 0880DFC8
3DC: 0880E46C
3DD: 0880E5E0
3DE: 0880E794
3DF: 0880E8F4
3E0: 0880EA78
3E1: 0880ECB4
3E2: 0880EF08
3E3: 0880F798
3E4: 0880F908
3E5: 0880F9AC
3E6: 0880FEE4
3E7: 0880FFA4
3E8: 08810130
3E9: 088108EC
3EA: 08810EE8
3EB: 08810F70
3EC: 088110F4
3ED: 0881160C
3EE: 08811B40
3EF: 08811C84
3F0: 08811E28
3F1: 08811FA4
3F2: 08812208
3F3: 08812384
3F4: 0881253C
3F5: 088128B8
3F6: 08812A50
3F7: 08812AC8
3F8: 08813110
3F9: 088131A8
3FA: 0881323C
3FB: 088136A0
3FC: 0881382C
3FD: 088138C0
3FE: 08813E00
3FF: 08813F68
400: 08813FE8
401: 088144E0
402: 088149CC
403: 08814B20
404: 08814CF4
405: 08814ED8
406: 08815020
407: 088151CC
408: 08815430
409: 08815458
40A: 08815480
40B: 088154A8
40C: 088154D0
40D: 088154F8
40E: 08815574
40F: 088155FC
410: 08815680
411: 08815700
412: 08815754
413: 08815790
414: 088157DC
415: 08816260
416: 08816BF8
417: 08817084
418: 0881713C
419: 0881716C
41A: 088171B4
41B: 0881C820
41C: 0881F2E8
41D: 0881F77C
41E: 08820178
41F: 088204AC
420: 08820A50
421: 08820A90
422: 08820ADC
423: 08820BEC
424: 08823EAC
425: 08823ED4
426: 0882BDA4
427: 0882F488
428: 088317F8
429: 08833BC0
42A: 0883CBFC
42B: 0883EE58
42C: 0884655C
42D: 088493D0
42E: 0884C14C
42F: 0884EFCC
430: 08851DD8
431: 08854E2C
432: 08857BF8
433: 0885A928
434: 0885D86C
435: 0885F5C8
436: 08861A58
437: 088653BC
438: 088676A0
439: 088696B8
43A: 0886CEB4
43B: 0886F338
43C: 08871644
43D: 0887503C
43E: 08877038
43F: 0887BB14
440: 0887F4E0
441: 08883144
442: 08884DBC
443: 08887A50
444: 0888C980
445: 0888E900
446: 088907D4
447: 08893AE0
448: 0889B358
449: 088A226C
44A: 088A46D0
44B: 088A6BDC
44C: 088A8958
44D: 088AAB88
44E: 088AE870
44F: 088AE898
450: 088B0170
451: 088B51D0
452: 088BED04
453: 088C18A8
454: 088CC264
455: 088D72E0
456: 088D9840
457: 088EE8B0
458: 088EF664
459: 088F0FE8
45A: 088FFAAC
45B: 08911D84
45C: 08921610
45D: 0892AEE4
45E: 08936200
45F: 0893B6C4
460: 089416F8
461: 08943B6C
462: 089445D0
463: 08946AA8
464: 089483CC
465: 0894879C
466: 0894D11C
467: 0894F894
468: 08951DDC
469: 08952A4C
46A: 089536D4
46B: 08954B90
46C: 08977D30
46D: 08977E20
46E: 08978D50
46F: 08979B78
470: 0897AB34
471: 0897CCF4
472: 0897CD1C
473: 0897CD44
474: 0897CF88
475: 0897D3E4
476: 0897D4F0
477: 0897D5F0
478: 0897D6D4
479: 0897D814
47A: 0897D91C
47B: 0897D9F8
47C: 0897DAF0
47D: 0897DC4C
47E: 0897DD38
47F: 0897DE34
480: 0897DF48
481: 0897E01C
482: 0897E4F4
483: 0897E9C0
484: 0897EE9C
485: 0897EEC4
486: 0897F388
487: 08980550
488: 08980AB0
489: 08980DF0
48A: 08980EB4
48B: 08980FCC
48C: 08981320
48D: 08981474
48E: 089815D0
48F: 08981730
490: 0898186C
491: 0898199C
492: 08981B08
493: 08981C74
494: 08981E20
495: 08981F80
496: 08982180
497: 089822DC
498: 08982438
499: 0898257C
49A: 089826D8
49B: 08982960
49C: 08982B08
49D: 08982D98
49E: 08982F74
49F: 08983050
4A0: 08983198
4A1: 089833A8
4A2: 08983680
4A3: 08983764
4A4: 08983880
4A5: 0898396C
4A6: 08983A44
4A7: 08983B30
4A8: 08983C7C
4A9: 08983D88
4AA: 08983E78
4AB: 08984108
4AC: 08984318
4AD: 089843F0
4AE: 089844E0
4AF: 089846B4
4B0: 0898479C
4B1: 08984878
4B2: 08984998
4B3: 08984A6C
4B4: 08984B58
4B5: 08985550
4B6: 08985678
4B7: 08985784
4B8: 0898588C
4B9: 08987768
4BA: 08988154
4BB: 089886D0
4BC: 08988878
4BD: 089889C4
4BE: 08988B30
4BF: 08988C94
4C0: 08988E10
4C1: 08989180
4C2: 08989350
4C3: 08989530
4C4: 089896E4
4C5: 08989890
4C6: 08989A84
4C7: 08989C6C
4C8: 0898A150
4C9: 0898A358
4CA: 0898A57C
4CB: 0898B2A0
4CC: 0898B84C
4CD: 0898B998
4CE: 0898BAEC
4CF: 0898BC14
4D0: 0898BD58
4D1: 0898BEBC
4D2: 0898BFF4
4D3: 0898C50C
4D4: 0898C704
4D5: 0898C8FC
4D6: 0898CACC
4D7: 0898CCB0
4D8: 0898CE5C
4D9: 0898CFF0
4DA: 0898D1E8
4DB: 0898D3FC
4DC: 0898D744
4DD: 0898E054
4DE: 0898E354
4DF: 0898E6C4
4E0: 0898E804
4E1: 0898EB64
4E2: 0898ECCC
4E3: 0898EE44
4E4: 0898EF90
4E5: 0898F0E0
4E6: 0898F25C
4E7: 0898F438
4E8: 0898F5CC
4E9: 0898F870
4EA: 0898FB44
4EB: 0899004C
4EC: 08990220
4ED: 08990728
4EE: 08990918
4EF: 08990AC4
4F0: 08990CA8
4F1: 08990E8C
4F2: 08991094
4F3: 08991258
4F4: 08991410
4F5: 089915B8
4F6: 089915E8
4F7: 08991864
4F8: 08991A60
4F9: 08992384
4FA: 08992AD8
4FB: 08992CB4
