Misc script stats,CODE chunk size,presence of backward jump,presence of switch instruction
541,size=580,loop=True,switch=False
54C,size=1B4,loop=False,switch=True
55A,size=210,loop=False,switch=True
55B,size=220,loop=False,switch=True
55C,size=21C,loop=False,switch=True
55D,size=CB0,loop=False,switch=True
565,size=78C,loop=True,switch=True
568,size=6A8,loop=False,switch=True
56A,size=5B4,loop=False,switch=True
56F,size=704,loop=False,switch=True
571,size=49C,loop=False,switch=True
